questionnaire_id,age,sex,birth_location,citizenship,current_muni,time_fsm,time_pni,pni_current_place,travelled_abroad,education,elementary_type,hs_type,children,meing,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_pni,youths_bad_eng,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,current_village,badtempered
15683,35 -- 44,Male,Kosrae State,FSM,Kitti,20 - 29 years,10 - 19 years,10 - 19 years,Yes,"Some college, no degree",Public school,Public school,2,Somewhat well,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,NA,Really disagree
17470,18 -- 24,Female,Pohnpei State,FSM,Sokehs,10 - 19 years,10 - 19 years,10 - 19 years,Yes,"Some college, no degree",Private school,Private school,0,Not at all,Other,English,English,Mokilese,English,English,English,English,Other,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Mokilese,Pohnpeian,Pohnpeian,English,English,English,Mokilese,Pohnpeian,Mokilese,English,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,NA,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,NA,Really agree
17727,18 -- 24,Male,Kosrae State,FSM,Kitti,10 - 19 years,0 - 4 years,10 - 19 years,No,"High school, diploma, or GED",Private school,Public school,1,Not at all,English,English,English,Kosraean,English,English,English,Kosraean,English,English,English,Kosraean,English,Kosraean,Kosraean,Kosraean,Kosraean,Kosraean,English,English,English,English,English,English,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Really disagree,Agree somewhat,Really agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,NA,Disagree somewhat
18793,18 -- 24,Female,Pohnpei State,FSM,Kitti,40 or more years,40 or more years,40 or more years,Yes,"Some college, no degree",Public school,Public school,0,Well,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Really disagree,Really disagree,Agree somewhat,Really agree,Really disagree,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Really agree,Agree somewhat,Agree somewhat,Really agree,Disagree somewhat,Disagree somewhat,Really agree,Disagree somewhat,NA,Disagree somewhat
20113,18 -- 24,Female,Pohnpei State,FSM,Sokehs,20 - 29 years,20 - 29 years,20 - 29 years,Yes,Associate degree,Public school,Public school,0,Not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mortlockese,NA,NA,NA,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,NA,Agree somewhat
20621,18 -- 24,Female,Pohnpei State,FSM,Madolenihmw,10 - 19 years,10 - 19 years,10 - 19 years,No,"Some college, no degree",Public school,Public school,0,Somewhat well,English,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree somewhat,Really disagree,Disagree somewhat,Really agree,Really disagree,Really agree,Really agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Really agree,Really disagree,Disagree somewhat,Really agree,Disagree somewhat,Agree somewhat,Really disagree,Really agree,Really agree,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,Really agree,Really disagree,NA,Really disagree
21815,18 -- 24,Male,Guam,FSM,Nett,10 - 19 years,10 - 19 years,5 - 9 years,Yes,"Some college, no degree",Private school,Private school,0,Somewhat well,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Kosraean,English,English,English,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree somewhat,Really disagree,Disagree somewhat,Really agree,Really disagree,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,Agree somewhat,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,NA,Disagree somewhat
22150,18 -- 24,Female,Pohnpei State,FSM,Sokehs,10 - 19 years,10 - 19 years,10 - 19 years,Yes,Associate degree,Private school,Private school,0,Not at all,NA,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Really disagree,NA,Disagree somewhat
22303,25 -- 34,Male,Pohnpei State,FSM,Sokehs,10 - 19 years,10 - 19 years,10 - 19 years,No,Associate degree,Public school,Public school,1,Well,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Really agree,Agree somewhat,Agree somewhat,Really agree,Really agree,Really agree,Agree somewhat,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really agree,Really agree,Really agree,Really agree,Really agree,Really disagree,Really agree,Really agree,Really disagree,NA,Disagree somewhat
23068,25 -- 34,Male,Chuuk State,FSM,Nett,20 - 29 years,0 - 4 years,10 - 19 years,Yes,"Some college, no degree",Public school,Public school,0,Not at all,English,English,English,English,English,English,English,English,English,English,English,English,Chuukese,Chuukese,English,English,English,Pohnpeian,English,English,English,Chuukese,English,English,Chuukese,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Really disagree,Really disagree,Agree somewhat,Really agree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,NA,Really disagree
