questionnaire_id,current_village
45905,Dolonier
47942,Awak Pah
60429,Rohi_Uh
49398,Kolonia
52214,Sokehs
57367,Kolonia
31846,Paliais
35796,Pehleng
24236,Awak Powe
27015,Pohnrakied
52388,Awak
50521,Takaieu_Uh
37166,Souna
31990,Alohkapw
56954,Pohnrakied
30940,Nanpil
52325,Pohnrakied
56384,Kahmar
48808,Nanpil
47472,Mwalok
60411,Kahmar
21499,Pohnrakied
27383,Nanpil
61548,Kahmar
21476,Nanpil
53398,Dolonier
45304,Nanpil
58133,Nanpil
17603,Nanpil
50923,Nanpil
64658,Kahmar
57376,Nanpil
24853,Nanpil
63635,Nanpil
25970,Kahmar
58496,Nanpil
46980,Eirike
24958,Paies_Kitti
51392,Madolenihmw
16197,Eirike
43043,Eirike
23927,Dolonier
42504,Paies_Kitti
43275,Kolonia
19657,Nanuh
27020,Nanuh
44372,Nanuh
25075,Nanuh
18526,Nanuh
36676,Kolonia
51062,Nanuh
65212,Kahmar
40265,Kahmar
26023,Lukopoas
52372,Nanpil
64063,Uh
44632,Kahmar
36504,Awak Pah
36242,Kahmar
26058,Pahnimwinsapw
57888,Eirike
63428,Meitik
20421,Eirike
31142,Lukop
17177,Wapar
24078,Lukop
60966,Meitik
52334,Nanpil
60518,Elieliwi
61729,Kolonia
53953,Pwudoi
37634,Seinwar
50555,Seinwar
51976,Mwudok
28765,Eirike
44003,Pihs
19479,Rohi_Uh
36520,Seinwar
17149,Seinwar
46864,Seinwar
16401,Nanpahlap
17793,Tomwoarolong
60525,Marahu
44174,Eirike
17058,Eirike
18964,Eirike
20725,Eirike
17640,Eirike
40110,Eirike
43115,Eirike
40413,Eirike
33533,Eirike
21606,Eirike
20776,Nett
20986,Eirike
58110,Eirike
56521,Eirike
20546,Pwoaipwoai
36707,Eirike
59423,Eirike
59711,Eirike
24891,Eirike
56710,Pehleng
38967,Kahmar
59093,Nanpil
17055,Nanpil
45632,Nanpil
23977,Kahmar
22116,Nanpil
23422,Kahmar
54796,Kahmar
62013,Kahmar
61059,Palipohn
24880,Kahmar
31160,Kahmar
32996,Kahmar
51300,Nanpil
24745,Kahmar
61119,Kahmar
49817,Paies_Kitti
36238,Paies_Kitti
64201,Nanpil
25200,Nanpil
15656,Nett
21197,Nanpil
56919,Nanpil
52068,Nanpil
55007,Wone
46024,Kahmar
27999,Temwen
56255,Pohnauleng
46367,Rohi_Uh
58727,Nanpil
24655,Nanpil
28753,Kahmar
48907,Nanpil
20225,Nanpil
59048,Nanpil
53250,Nanuh
20335,Kahmar
47229,Nanpil
28288,Sapwehrek
27713,Kahmar
41156,Enipein
21089,Nanpil
46061,Dien
17596,Enipein Pah
25005,Kahmar
55062,Nanpil
63741,Nanpil
38575,Awak
42584,Saladak
48355,Awak
44205,Kahmar
30121,Kahmar
22269,Pohnauleng
17625,Sapwehrek
43212,Alohkapw
27420,Iosmaru
60731,Mwalok
59420,Sekere
59361,Kolonia
58657,Nahnpohnmal
64547,Kolonia
52585,Danpei
52276,Eirike
51150,Mwalok
47892,Alauso
46547,Eirike
44046,Nahnpohnmal_sokehs
40870,Ipat
40181,Sapwohn
39955,Nahnpohnmal_sokehs
39827,Lewetik
38490,Dolonier
38002,Palikir
36815,Sokehs
36444,Enipein
32465,Nahnpohnmal_sokehs
30792,Kolonia
23583,Eirike
22150,Nahnpohnmal_sokehs
15683,Salapwuk
54547,Madolenihmw
64912,Dolekei
65523,Paies_Sokehs
61822,Danpei
63943,Awak
61273,Kolonia
60986,Chinatown
60692,Pwudoi
59701,Paies_Kitti
60543,Kolonia
60573,Nanmand
59896,Nett
59917,Palikir
57996,Uh
52503,Dolekei
57159,Paies_Kitti
57371,Palikir
52309,Pehleng
51615,Roie
50259,Palikir
49746,Paies_Kitti
47321,Palikir
46366,Palikir_Kitti
48849,Paies_Kitti
48364,Kolonia
48060,Kitti
49578,Nankewi
45944,Kolonia
43966,Nahnpohnmal_sokehs
43483,Paies_Kitti
43581,Paies_Sokehs
40544,Rohnkitti
45807,Paies_Kitti
44715,Poatoapoat
40127,Kolonia
37487,Palikir_Kitti
39292,Paies_Kitti
39119,Paies_Sokehs
39333,Dien
38800,Dolonier
33615,Sokehs
17470,Danpei
17727,Paies_Kitti
21815,Nahnpohnmal
20113,Sokehs
20621,Ipwitek
18793,Paies_Kitti
23271,Pahnsapw_nett
22303,Paies_Sokehs
23068,Kolonia
24197,Paies_Kitti
28423,Sekere
30620,Pehleng
26383,Paies_Sokehs
31720,Awak
30165,Paies_Sokehs
28603,Kolonia
29207,Enipein Pah
31655,Paies_Sokehs
34917,Pihs
35617,Paies_Kitti
35683,Dien
35718,Ipat
36087,Nett
36100,Awak Pah
36487,Wakamodo
