questionnaire_id,current_village
61729,Kolonia
53953,Pwudoi
37634,Seinwar
50555,Seinwar
51976,Mwudok
28765,Eirike
44003,Pihs
19479,Rohi_Uh
36520,Seinwar
17149,Seinwar
46864,Seinwar
16401,Nanpahlap
17793,Tomwoarolong
60525,Marahu
44174,Eirike
17058,Eirike
18964,Eirike
20725,Eirike
17640,Eirike
40110,Eirike
43115,Eirike
40413,Eirike
33533,Eirike
21606,Eirike
20776,Nett
20986,Eirike
58110,Eirike
56521,Eirike
20546,Pwoaipwoai
36707,Eirike
59423,Eirike
59711,Eirike
24891,Eirike
56710,Pehleng
38967,Kahmar
59093,Nanpil
17055,Nanpil
45632,Nanpil
23977,Kahmar
22116,Nanpil
23422,Kahmar
54796,Kahmar
62013,Kahmar
61059,Palipohn
24880,Kahmar
31160,Kahmar
32996,Kahmar
51300,Nanpil
24745,Kahmar
61119,Kahmar
49817,Paies_Kitti
36238,Paies_Kitti
64201,Nanpil
25200,Nanpil
15656,Nett
21197,Nanpil
56919,Nanpil
52068,Nanpil
55007,Wone
46024,Kahmar
27999,Temwen
56255,Pohnauleng
46367,Rohi_Uh
58727,Nanpil
24655,Nanpil
28753,Kahmar
48907,Nanpil
20225,Nanpil
59048,Nanpil
53250,Nanuh
20335,Kahmar
47229,Nanpil
28288,Sapwehrek
27713,Kahmar
41156,Enipein
21089,Nanpil
46061,Dien
17596,Enipein Pah
25005,Kahmar
55062,Nanpil
63741,Nanpil
38575,Awak
42584,Saladak
48355,Awak
44205,Kahmar
30121,Kahmar
22269,Pohnauleng
17625,Sapwehrek
43212,Alohkapw
27420,Iosmaru
