"","foreigners_lang"
"1","English"
"2","English"
"3","English"
"4","English"
"5","English"
"6","Pohnpeian"
"7","English"
"8","English"
"9","Pohnpeian"
"10","English"
"11","English"
"12","English"
"13","English"
"14","Pohnpeian"
"15","Pohnpeian"
"16","English"
"17","English"
"18","English"
"19","English"
"20","English"
"21","Pohnpeian"
"22","Pohnpeian"
"23","English"
"24","English"
"25","Pohnpeian"
"26","Pohnpeian"
"27","Pohnpeian"
"28","English"
"29","English"
"30","English"
"31","Pohnpeian"
"32","English"
"33","Pohnpeian"
"34","English"
"35","Pohnpeian"
"36","English"
"37","English"
"38","Pohnpeian"
"39","English"
"40","Pohnpeian"
"41","English"
"42","English"
"43","Pohnpeian"
"44","English"
"45","Pohnpeian"
"46","Pohnpeian"
"47","English"
"48","English"
"49","Pohnpeian"
"50","English"
"51","English"
"52","Pohnpeian"
"53","English"
"54","English"
"55","Pohnpeian"
"56","English"
"58","English"
"60","Mortlockese"
"61","English"
"62","English"
"63","English"
"64","Pohnpeian"
"65","English"
"66","Pohnpeian"
"67","English"
"68","English"
"69","English"
"70","English"
"71","Pohnpeian"
"72","Pohnpeian"
"73","Pohnpeian"
"75","English"
"76","Pohnpeian"
"77","Pohnpeian"
"78","English"
"79","English"
"80","English"
"81","English"
"82","Pohnpeian"
"83","English"
"84","English"
"85","Pohnpeian"
"86","English"
"87","English"
"88","English"
"89","Pohnpeian"
"90","Pohnpeian"
"91","English"
"92","English"
"93","English"
"94","English"
"95","English"
"96","Pohnpeian"
"97","English"
"98","English"
"99","English"
"100","Pohnpeian"
"101","Pohnpeian"
"102","English"
"103","English"
"104","English"
"105","English"
"106","Pohnpeian"
"107","Pohnpeian"
"108","English"
"109","English"
"110","Pohnpeian"
"111","English"
"112","English"
"113","English"
"114","English"
"115","English"
"116","English"
"117","Pohnpeian"
"118","English"
"119","English"
"120","Pohnpeian"
"121","Pohnpeian"
"122","English"
"123","English"
"124","English"
"125","English"
"126","English"
"127","English"
"128","English"
"129","English"
"130","Pohnpeian"
"131","English"
"132","English"
"133","English"
"134","English"
"135","English"
"136","English"
"137","English"
"138","English"
"139","English"
"140","English"
"141","English"
"142","English"
"143","Pohnpeian"
"144","English"
"145","English"
"146","English"
"147","English"
"148","English"
"149","English"
"150","English"
"151","English"
"152","English"
"153","Pohnpeian"
"154","Pohnpeian"
"155","Pohnpeian"
"156","Pohnpeian"
"157","Pohnpeian"
"158","Pohnpeian"
"159","Pohnpeian"
"160","Pohnpeian"
"161","English"
"162","English"
"163","English"
"164","English"
"165","English"
"166","English"
"167","English"
"168","English"
"169","English"
"170","English"
"171","English"
"172","English"
"173","English"
"174","English"
"175","English"
"176","English"
"177","English"
"178","English"
"179","English"
"180","English"
"181","English"
"182","English"
"183","English"
"184","English"
"185","English"
"186","English"
"187","English"
"188","English"
"189","English"
"190","English"
"191","English"
"192","English"
"193","English"
"194","English"
"195","English"
"196","English"
"197","English"
"198","English"
"199","English"
"200","English"
"201","English"
"202","English"
"203","English"
"204","English"
"205","English"
"206","English"
"207","English"
"208","English"
"209","English"
"210","English"
"211","English"
"212","English"
"213","English"
"214","Pohnpeian"
"215","English"
"216","English"
"217","English"
"218","English"
"219","English"
"220","English"
"221","English"
"222","English"
"223","English"
"224","English"
"225","English"
"226","English"
"227","English"
"228","English"
"229","English"
"230","English"
"231","English"
"232","English"
"233","English"
"234","English"
"235","English"
"236","English"
"237","Pohnpeian"
"238","English"
"239","English"
"240","English"
"241","English"
"242","English"
"243","English"
"244","English"
"245","English"
"246","English"
"247","English"
"248","Pohnpeian"
"249","English"
"250","English"
"251","English"
"252","English"
"253","English"
"254","English"
"255","English"
"256","English"
"257","English"
"258","English"
"259","English"
"260","Pohnpeian"
"261","English"
"262","English"
"263","English"
"264","English"
"265","English"
"266","English"
"267","English"
"268","English"
"269","Pohnpeian"
"270","English"
"271","English"
"272","English"
"273","English"
"274","Pohnpeian"
"275","English"
"276","English"
"277","English"
"278","English"
"279","English"
"280","English"
"281","English"
"282","English"
"283","English"
"284","English"
"285","English"
"286","English"
"287","English"
"288","English"
"289","English"
"290","English"
"291","English"
"292","English"
"293","English"
"294","English"
"295","English"
"296","English"
"297","English"
"298","English"
"299","English"
"300","English"
"301","English"
"305","Pohnpeian"
"315","English"
"322","English"
"326","English"
"328","English"
"336","English"
"341","English"
"344","English"
"347","English"
"350","English"
"361","English"
"365","English"
"373","English"
"374","English"
"377","English"
"378","English"
"383","English"
"386","English"
"391","English"
"416","Japanese"
"418","English"
"421","English"
"444","English"
"448","Pohnpeian"
"449","Pohnpeian"
"454","English"
"455","English"
"456","English"
"457","English"
"459","English"
"477","French"
"487","Japanese"
"503","Pohnpeian"
"506","Pohnpeian"
"515","English"
"535","Pohnpeian"
"538","English"
"549","English"
"778","Spanish"
