questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
1,Yapese,1,Marshallese,1,Pohnpeian ,1,"Yapese,English",1,"Yapese,English",1,English,English,English,Yapese,Non-English,,"Yapese,Chuukese",English,English,"Pohnpeian,English",English,"Yapese,Chuukese"
2,Ilocano,1,"Tagalog,English",2,Pohnpeian,1,Ilocano,0,Ilocano,0,Pohnpeian,English,English,English,English,English,Tagalog,Tagalog,English,English,English,Tagalog
3,Mwokilese,1,"Pohnpeian,English,Marshallese",3,Chuukese,1,Mwokilese,0,Mwokilese,0,"Pohnpeian,Meing","Mwokilese,Pohnpeian,English",Bilingual,English,English,English,"Mwokilese,Marshallese",English,English,English,English,"Mwokilese,Marshallese,English"
4,Pohnpeian,1,English,1,"Ngatikese,Pingelapese",2,Pohnpeian,0,Pohnpeian,0,Spanish,English,English,English,English,English,Pohnpeian,"Pohnpeian,English",English,English,English,Pohnpeian
5,Ilonggo,1,Tagalog,1,Chuukese ,1,"Ilonggo,Tagalog,Bisaya,English",1,,,English,"English,Tagalog",Bilingual,"English,Tagalog",Bilingual,"English,Tagalog",Ilonggo,"Tagalog,English",English,English,"Bisaya,Tagalog",English
6,Mwokilese,1,"Pohnpeian,Pingelapese,English",3,"Kosraean,Mortlockese",1,Mwokilese,0,"Mwokilese,Pohnpeian",0,"French,Spanish","English,Pohnpeian",Bilingual,English,English,English,Mwokilese ,"Pohnpeian,Mwokilese,Pingelapese,English",English,"Pohnpeian,English","Pohnpeian,English",Mwokilese
7,Pohnpeian,1,"Chuukese,English",2,,0,Pohnpeian,0,Mwokilese,0,Pohnpeian,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian ,Pohnpeian ,English ,English ,English ,Pohnpeian 
8,Pohnpeian,1,"English,Mwokilese,Pingelapese",3,,0,"Pohnpeian,English,Mwokilese,Pingelapese",1,"Mwokilese,Pohnpeian,English",1,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,"Pohnpeian,Mwokilese","Pohnpeian,Mwokilese,Pingelapese",English,English,"Pohnpeian,English","Pohnpeian,Mwokilese"
9,Tagalog,1,"Tagalog,English",2,,0,"Tagalog,English",1,"Tagalog,English",1,English,"English,Tagalog",Bilingual,"English,Tagalog",Bilingual,"Tagalog,English",Tagalog,"Tagalog,English",English,"Tagalog,English","Tagalog,English",Tagalog
10,Yapese ,1,English ,1,Chuukese,1,Chuukese,0,Yapese,0,English,English,English,English ,English,English ,Yapese,English ,English ,English ,English ,Yapese
11,English,1,Pohnpeian,1,Spanish,1,English,1,English,1,Pohnpeian,English,English,English,English,English,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English",,"English,Pohnpeian"
12,Pohnpeian,1,"English,Japanese",2,Kosraean ,1,Pohnpeian,0,Pohnpeian,0,Chinese,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian
13,English,1,,0,"Japanese,Kosraean,Pingelapese,Chuukese",4,"English,Pohnpeian",1,"English,Pohnpeian",1,All,English,English,English,English,English,"English,Pohnpeian","Pohnpeian,English",English,"English,Pohnpeian","Pohnpeian,English","Pohnpeian,English"
14,English,1,Pohnpeian,1,"Spanish, Kosraean ",2,English,1,English,1,"Spanish,French",English,English,English,English,English,English,"Pohnpeian,English",English,Pohnpeian,,English
15,English,1,,0,Spanish,1,English,1,English,1,Pohnpeian,English,English,English,English,English,English,English,English,English,English,English
16,English,1,French,1,"Spanish,Russian,Pohnpeian",3,English,1,English,1,"Russian,Pohnpeian",English,English,English,Bilingual,English,English,"English,French ","English,French,Spanish","English,Pohnpeian",,English
17,English,1,German,1,"Pohnpeian,Spanish",2,English,1,English,1,"Pohnpeian,Spanish",English,English,English,English,English,English,"English,Pohnpeian",English,"English,Pohnpeian ",English,English
18,English,1,,0,"Pohnpeian,Swahili,Spanish",3,English,1,English,1,,English,English,English,English,English,"English,Pohnpeian",English,English,"English,Pohnpeian",,"English,Pohnpeian"
19,Pohnpeian,1,"Mwokilese,English",2,,0,Mwokilese,0,Pohnpeian,0,Chuukese,"Pohnpeian,English",Bilingual,English,English,English,"Pohnpeian,Mwokilese",Pohnpeian,English,,,
20,Chuukese,1,English,1,,0,"Chuukese,English",1,"Chuukese,English",1,Pohnpeian,English,English,English,English,English,"Chuukese,English",English,English,English,English,Chuukese
21,Pohnpeian,1,"English,Chuukese",2,,0,Pohnpeian,0,"Pohnpeian,English",1,"Yapese,Kosraean ","Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English,Chuukese",English,"English,Pohnpeian",English,Pohnpeian
22,Pohnpeian,1,English,1,Mortlockese,1,"Mortlockese,Pohnpeian,English",1,"Ngatikese,Pohnpeian,English",1,Japanese,English,English,"Pohnpeian,English",Bilingual,English,"Pohnpeian,English","Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,English"
23,Pohnpeian,1,"English,Japanese",2,"Fijian,Palauan,Kosraean,Chuukese",4,Pohnpeian,0,Pohnpeian,0,English,"English,Pohnpeian",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,English ,English,Pohnpeian
24,"English,Marshallese",2,Pohnpeian,1,French,1,"English,French,Marshallese",1,"English,Marshallese",1,"Meing,French",English,English,English,Bilingual,English,"Pohnpeian,English","English,Pohnpeian",English,"English,Pohnpeian",,"Pohnpeian,English"
25,Finnish,1,English,1,Swedish,1,"Finnish,English,Swedish",1,"Finnish,English,Swedish",1,Pohnpeian,Finnish,Non-English,Finnish,Non-English,Finnish,Finnish,"Finnish,English",English,English,,English
26,English,1,"Nepalese,French",2,"Pohnpeian,Italian,Tibetan,Chinese,Japanese",5,English,1,English,1,Pohnpeian,English,English,"English,French",Bilingual,English,English,"English,Japanese","English,Japanese",English,English,English
27,Chuukese ,1,"English,Outer Island Yapese ",2,Pohnpeian ,1,"Chuukese,Outer Island Yapese,Kosraean ",0,"English,Chuukese,Kosraean, Outer island Yapese,Japanese",1,Pohnpeian,Chuukese,Non-English,"English,Chuukese ",Bilingual,English ,"Chuukese,English ","English,Chuukese ",English ,English ,,"Chuukese,English "
28,Pohnpeian,1,Tagalog,1,,0,Pohnpeian,0,"English,Pohnpeian",1,Tagalog,"English,Pohnpeian",Bilingual,"English,Pohnpeian",Bilingual,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
29,Pingelapese,1,"Pohnpeian,English",2,,0,"Pingelapese,Pohnpeian,English",1,"Pingelapese,Pohnpeian,English",1,"Pohnpeian,English","Pingelapese,Mwokilese,Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pingelapese,"Pingelapese,Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English",Pingelapese
30,English,1,,0,Japanese,1,"English,Palauan,Pohnpeian",1,"English,Japanese,Pohnpeian,Palauan",1,"Japanese,Spanish,Pohnpeian,Chuukese,Yapese,Palauan,Italian,Russian",English,English,English,English,"English,Pohnpeian","Japanese,English",English,English,English,English,"English,Japanese"
