questionnaire_id,survey_version,survey_language,old_questionnaire_id,age,sex,birth_location,citizenship,current_muni,time_fsm,time_pni,pni_current_place,travelled_abroad,education,elementary_type,hs_type,meing,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_pni,youths_bad_eng,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_respect,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,micro_speak_micro,micro_speak_eng,pni_smarter,english_simpler_pni,pni_politer_eng,kitti_need_eng,kolonia_need_pni,kitti_need_pni,want_children_pni,want_children_eng,meing_important,want_children_meing,micro_pni_pni,schools_teach_pni,eng_important_pni,quiet,stupid,loud,kindhearted,feminine,badtempered,masculine,honest,modern,greedy,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,smart,ugly,educated,current_village
1,2a,pni,15656,25 -- 34,Female,Pohnpei State,FSM,Kitti,10 - 19 years,20 - 29 years,NA,No,"Some college, no degree",Public school,Public school,Somewhat well,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Really disagree,Really agree,Disagree somewhat,Really disagree,Disagree somewhat,Really agree,Agree somewhat,Really disagree,,NA,Agree somewhat,Really agree,Really agree,Really disagree,Really agree,Disagree somewhat,Really disagree,Really agree,Really agree,Really agree,Really agree,Really agree,Really disagree,Really agree,Really agree,Agree somewhat,Really agree,Really disagree,Disagree somewhat,
2,2a,pni,16401,45 -- 54,Male,Pohnpei State,FSM,Madolenihmw,40 or more years,40 or more years,20 - 29 years,No,Kingergarten - 8th grade,Public school,NA,Not at all,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Really disagree,,Agree somewhat,Agree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,
3,2a,pni,17055,45 -- 54,Male,Pohnpei State,FSM,Nett,40 or more years,40 or more years,40 or more years,No,"Some college, no degree",Public school,Public school,Somewhat well,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Agree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Really disagree,Really disagree,Agree somewhat,,Disagree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really agree,Really agree,Really agree,NA,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Really disagree,Disagree somewhat,
4,2a,pni,17149,25 -- 34,Male,Pohnpei State,FSM,Kitti,20 - 29 years,10 - 19 years,20 - 29 years,No,"Some college, no degree",Public school,Public school,Somewhat well,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Other,Other,Other,Other,Other,Other,Other,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,
5,2a,pni,17596,45 -- 54,Male,Pohnpei State,FSM,Kitti,40 or more years,40 or more years,30 - 39 years,No,Kingergarten - 8th grade,Public school,NA,Somewhat well,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Really agree,Really disagree,Really agree,
6,2a,pni,17625,55 -- 64,Female,Pohnpei State,FSM,Madolenihmw,40 or more years,40 or more years,40 or more years,No,Kingergarten - 8th grade,Public school,NA,Somewhat well,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Really agree,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,
7,2a,pni,17640,25 -- 34,Female,Pohnpei State,FSM,Nett,20 - 29 years,20 - 29 years,20 - 29 years,No,"Some high school, no diploma",Public school,Public school,Somewhat well,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really agree,Really disagree,Really disagree,,Really disagree,Really agree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really agree,Really agree,Really agree,Really agree,Really disagree,Really agree,Really agree,Really disagree,Really disagree,Really disagree,Really agree,
8,2a,pni,17793,65 -- 74,Male,Pohnpei State,FSM,Kitti,40 or more years,40 or more years,20 - 29 years,No,Kingergarten - 8th grade,Public school,NA,Somewhat well,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Really agree,Really agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,
9,2a,pni,18964,35 -- 44,Male,Pohnpei State,FSM,Nett,30 - 39 years,30 - 39 years,30 - 39 years,No,"Some high school, no diploma",Public school,Public school,Somewhat well,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,NA,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Really agree,Really disagree,Disagree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Really agree,Really agree,Really disagree,,Really agree,Agree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Really agree,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,
10,2a,pni,19479,25 -- 34,Female,Pohnpei State,FSM,Uh,20 - 29 years,20 - 29 years,20 - 29 years,Yes,"Some high school, no diploma",Public school,Public school,Somewhat well,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,
