questionnaire_id,age,sex,birth_location,home_island,home_village,citizenship,current_muni,current_village,time_fsm,time_pni,pni_current_place,travelled_abroad,travel_location,education,elementary_type,hs_type,children,occupation,occupation_mother,occupation_father,mother_islandvill,father_islandvill,lang1,lang_well,lang_little,meing,lang_mother,lang_father,lang_children,lang_better,elem_lang,hs_lang,lang_college,family_lang,friends_lang,foreign_lang,word_lang,school_lang,home_lang,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_eng,youths_bad_pni,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,desc_pni,desc_eng
1,18 -- 24,Male,Yap State,Satawal and Woleai,,FSM,Nett,Mabusi,10 - 19 years,5 - 9 years,0 - 4 years,Yes,I travel to Ebeye(Marshall island) lived there for 5 years,"Some high school, no diploma",Private school,Public school,0,employee to Naime Fashion ,none,Medical director of public health emergency and Hospital preparedness   ,Satawal/Woleai,Satawal/Woleai,Yap,Marshall,Pohnpeian ,Not at all,Yap/English,Yap/English,Yap/English,English,English,Yap,,Yap/chuuk,English,English,Pohnpeian/English,English,Yap/Chuuk,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Other,English,English,English,English,English,English,English,English,English,Other,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,3,2,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
2,35 -- 44,Male,Philippines,Philippines,Philippines,Philippines,Nett,,10 - 19 years,10 - 19 years,10 - 19 years,Yes,California for one month,Bachelor's degree,Public school,Private school,2,Teacher,Teacher,Teacher,Philippines,Philippines,Ilocano,"Tagalog, English",Pohnpeian,Not at all,Ilocano,Ilocano,English,Pohnpeian,English,English,English,Tagalog,Tagalog,English,English,English,Tagalog,English,English,English,Other,English,English,English,English,Mokilese,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,English,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,3,1,1,3,1,1,3,3,,3,3,1,3,1,1,1,1,1,3,3,3,3,1,3,3,1,"Interesting, ",excellent
3,55 -- 64,Female,Pohnpei State,MOKIL,lIKINKEL,FSM,Nett,NANPOHNMAL,40 or more years,40 or more years,20 - 29 years,Yes,HAWAII / GUAM  X 2 WEEKS AND MORE,Master's degree,Public school,Public school,4,EDUCATION OFFICER,HOUSEWIFE,MAINTENANCE/CARPENTER,MOKIL,MOKIL,MOKILESE,"MOKILESE, POHNPEAN, ENGLISH AND MARSHALLESE",CHUUKESE (LAGOON DIALECT),Not at all,MOKILESE,MOKILESE,"MOKILESE, POHNPEAN, ENGLISH & MARSHALLESE",POHNPEIAN / MEING,MOKILESE/POHNPEIAN & ENGLISH,ENGLISH,ENGLISH,"MOKILESE, MARSHALLESE",ENGLISH,ENGLISH,ENGLISH,ENGLISH,"MOKILESE, MARSHALLESE, SOME ENGLISH",English,English,Pohnpeian,Mokilese,English,English,English,Pohnpeian,English,Pohnpeian,,Pohnpeian,Mokilese,Mokilese,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Mokilese,Mokilese,Mokilese,Mokilese,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,2,1,1,3,1,1,1,1,,1,1,1,1,1,1,1,1,4,4,4,3,3,1,3,1,1,"HUMBLE, RESPECFUL, FRIENDLY, UNIQUE, BEAUTIFUL!","EDUCATIONAL, COMPLEX, WIDELY USED, EASY TO LEARN, POPULAR "
4,35 -- 44,Female,Pohnpei State,Pohnpei,Sokehs,FSM,Sokehs,Kolonia,30 - 39 years,30 - 39 years,10 - 19 years,Yes,"Kansas, Missouri-5yrs/Guam-4 days/RMI-5 days/Hawaii-2 days","Some college, no degree",Private school,Private school,4,Administrative Assistant-IOM,Small business Guarentee-Loan Manager,Pohnpei Port Authority Sea Port Manager,Lehiak Madolenimw,Oaumoar Sokehs,Pohnpei,English,Ngatik/Pingelap,Well,Pohnpei,Pohnpei,Pohnpei/English,Spanish,English,English,English,Pohnpei,Pohnpei/English,English,English,English,Pohnpei,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,3,1,3,4,1,1,3,3,3,2,3,2,2,1,1,2,1,3,3,2,2,4,1,3,3,2,Unique/,
5,25 -- 34,Female,Philippines,Mindanao,Mabuhay,Philippines,Nett,Nanpohnmal,5 - 9 years,0 - 4 years,0 - 4 years,Yes,More than a week ,Bachelor's degree,Private school,Private school,2,Nurse ,Teacher,Deceased,Mindanao ,Mindanao,Ilonggo,Ilonggo and Tagalog,Chuukese ,Not at all,"Ilonggo, Tagalog, Bisaya and English",None,Any languages,English,English and Tagalog,English and Tagalog,English and Tagalog,Mostly Ilonggo,Tagalog and Enhlish,English,English,Bisaya and Tagalog,Mostly English,Pohnpeian,English,English,English,English,English,English,English,English,Pohnpeian,,Pohnpeian,,,,Kosraean,,,,Kosraean,Kosraean,Kosraean,Kosraean,Kosraean,Kosraean,Agree,Agree,,Agree,,,,,Agree,Agree,Agree,,Agree,,,Agree,,Agree,,,Agree,Agree,Agree,,,,Agree,,,,,,,,Agree,Agree,,,,,,1,,,1,,1,1,1,,,,,,,1,1,,,1,,,,,Difficult but interesting ,"Fun, interesting and modern"
6,35 -- 44,Female,Pohnpei State,"Sokehs Island, Sokehs","Eir, Sokehs",FSM,Sokehs,Eir,40 or more years,40 or more years,40 or more years,Yes,"New York, Washington D.C, Chicago, Apia, Fiji, Guam, Honolulu, Atlanta",Associate degree,Public school,Public school,1,"Commissioner, Pohnpei Public Broadcasting Corporation",Classroom Teacher,Public Health Program Coordinator,Mwoakiloa Island,"Eir, Sokehs",Mokilese,"Pohnpeian, Pingelapese, English","Kosraean, Mwotlukese",Well,Mokilese,"Mokilese, Pohnpeian","Mokilese, Pohnpeian",French & Spanish,English & Pohnpeian,English,English,Mokilese ,"Depend, if they are Pohnpeians- I speak Pohnpeian, Mokilese, I speak Mokilese, Pingelapese-Pingelapese or sometimes English",English,Pohnpeian & English,Pohnpeian & English,Mokilese,Pohnpeian,English,English,Mokilese,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Mokilese,Pohnpeian,Mokilese,Mokilese,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,2,1,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,2,4,2,1,"respectful, patriotic,cultured, humble,masculine","loud, show-offs, , proud, modern, attractive"
7,35 -- 44,Female,Pohnpei State,,,FSM,Nett,Nanpohnmal,30 - 39 years,30 - 39 years,20 - 29 years,Yes,Vermont 4 months (2x for 8wks,Master's degree,Public school,Private school,3,Instructo,Sales clerk,,Kolonia,,Pohnpeian,"Chuukese, English",,Somewhat well,Pohnpeian,Mwokilese,Pohnpeian,Pohnpeian,Pohnpeian and English,English,English,Pohnpeian ,Pohnpeian ,English ,English ,English ,Pohnpeian ,Pohnpeian,English,English,,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Disagree,Agree,,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,4,1,1,4,1,1,3,2,3,3,3,1,2,1,1,1,1,4,4,4,3,4,1,4,4,1,Unique,
8,18 -- 24,Male,Pohnpei State,Pohnpei,Kolonia,FSM,Sokehs,Nanpohnmal,20 - 29 years,20 - 29 years,5 - 9 years,Yes,US mainland 1.5yr,Associate degree,Public school,Public school,2,US army,Elementary teacher,College director,Kitti/Pingelap,Kolonia/ Mwoakilloa,Pohnpeian,English: mwokilese and pingelapese dialect,N/A,Somewhat well,"Pohnpeian, English, mwokilese and pingelapese dialect",Mwoakilese pohnpeian English,Pohnpeian Mwoakilese,English,Pohnpeian English,Pohnpein English,English,Pohnpeian Mwoakilese,Pohnpeian Mwoakilese pingelapese,English,English,Phnpeian English,Pohnpeian Mwoakilsea,English,Pohnpeian,English,Mokilese,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Mokilese,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,3,1,3,3,3,3,3,3,4,3,3,3,2,1,1,1,2,2,3,3,3,3,1,3,3,1,Uniquely Defines Pohnpeian,World language
9,25 -- 34,Female,Philippines,,,Philippines,Nett,Kolonia,5 - 9 years,5 - 9 years,5 - 9 years,Yes,singapore ( 30 days) hongkong ( 3 days ) Thailand (4 days) ,Bachelor's degree,Public school,Private school,0,Pharmacist,Teacher,Soldier,,,filipino,"Filipino, english",,Somewhat well,"filipino, english","filipino, english",english,english,"english, filipino","english, filipino","filipino, english",filipino,"filipino, english",english,"filipinoo, english","filipino, english",filipino,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,2,3,2,4,2,3,3,2,3,2,3,3,2,3,2,3,2,3,3,3,3,3,2,3,3,2,,
10,18 -- 24,Female,Yap State,Satawal,Aetiroang,FSM,Nett,Likinkel,10 - 19 years,10 - 19 years,5 - 9 years,Yes,Washington D.C- 2 weeks ,"Some college, no degree",Private school,Private school,0,Student ,Housewife ,Director of Office of Environment Emergency Management ,"Pollap, Chuuk","Satawal, Yap",Yapese language ,English ,Chuukese language ,Very well,Chuukese language ,Yapese language ,English ,English ,English,English ,English ,Native language- Yapese,English ,English ,English ,English ,Native language ,Pohnpeian,,,Pohnpeian,,Pingelapese,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,,Pohnpeian,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,,Agree,Agree,,Agree,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,,Agree,Agree,,,Agree,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,
