questionnaire_id,current_village
60731,Mwalok
59420,Sekere
59361,Kolonia
58657,Nahnpohnmal
64547,Kolonia
52585,Danpei
52276,Eirike
51150,Mwalok
47892,Alauso
46547,Eirike
44046,Nahnpohnmal_sokehs
40870,Ipat
40181,Sapwohn
39955,Nahnpohnmal_sokehs
39827,Lewetik
38490,Dolonier
38002,Palikir
36815,Sokehs
36444,Enipein
32465,Nahnpohnmal_sokehs
30792,Kolonia
23583,Eirike
22150,Nahnpohnmal_sokehs
15683,Salapwuk
54547,Madolenihmw
64912,Dolekei
65523,Paies_Sokehs
61822,Danpei
63943,Awak
61273,Kolonia
60986,Chinatown
60692,Pwudoi
59701,Paies_Kitti
60543,Kolonia
60573,Nanmand
59896,Nett
59917,Palikir
57996,Uh
52503,Dolekei
57159,Paies_Kitti
57371,Palikir
52309,Pehleng
51615,Roie
50259,Palikir
49746,Paies_Kitti
47321,Palikir
46366,Palikir_Kitti
48849,Paies_Kitti
48364,Kolonia
48060,Kitti
49578,Nankewi
45944,Kolonia
43966,Nahnpohnmal_sokehs
43483,Paies_Kitti
43581,Paies_Sokehs
40544,Rohnkitti
45807,Paies_Kitti
44715,Poatoapoat
40127,Kolonia
37487,Palikir_Kitti
39292,Paies_Kitti
39119,Paies_Sokehs
39333,Dien
38800,Dolonier
33615,Sokehs
17470,Danpei
17727,Paies_Kitti
21815,Nahnpohnmal
20113,Sokehs
20621,Ipwitek
18793,Paies_Kitti
23271,Pahnsapw_nett
22303,Paies_Sokehs
23068,Kolonia
24197,Paies_Kitti
28423,Sekere
30620,Pehleng
26383,Paies_Sokehs
31720,Awak
30165,Paies_Sokehs
28603,Kolonia
29207,Enipein Pah
31655,Paies_Sokehs
34917,Pihs
35617,Paies_Kitti
35683,Dien
35718,Ipat
36087,Nett
36100,Awak Pah
36487,Wakamodo
