"","work_lang"
"1","Pohnpeian"
"2","English"
"3","Pohnpeian"
"5","Pohnpeian"
"7","Pohnpeian"
"8","English"
"9","Pohnpeian"
"10","Pohnpeian"
"11","Pohnpeian"
"12","Pohnpeian"
"13","Pohnpeian"
"14","Pohnpeian"
"15","Pohnpeian"
"16","Pohnpeian"
"17","Pohnpeian"
"19","Pohnpeian"
"20","Pohnpeian"
"21","Pohnpeian"
"22","Pohnpeian"
"24","Pohnpeian"
"25","Pohnpeian"
"26","Pohnpeian"
"28","Pohnpeian"
"29","Pohnpeian"
"30","Pohnpeian"
"31","Pohnpeian"
"32","Pohnpeian"
"33","Pohnpeian"
"34","Pohnpeian"
"35","Pohnpeian"
"36","Pohnpeian"
"38","Pohnpeian"
"39","Pohnpeian"
"41","Pohnpeian"
"42","Pohnpeian"
"43","Pohnpeian"
"44","Pohnpeian"
"45","Pohnpeian"
"46","Pohnpeian"
"47","Pohnpeian"
"48","Pohnpeian"
"49","Pohnpeian"
"50","English"
"51","Pohnpeian"
"52","Pohnpeian"
"53","Pohnpeian"
"54","Pohnpeian"
"55","Pohnpeian"
"56","Pohnpeian"
"57","Pohnpeian"
"58","English"
"59","English"
"60","Mortlockese"
"61","English"
"62","Pohnpeian"
"63","Pohnpeian"
"64","Pohnpeian"
"65","Pohnpeian"
"66","Pohnpeian"
"67","Pohnpeian"
"68","Pohnpeian"
"69","Pohnpeian"
"70","Pohnpeian"
"71","Pohnpeian"
"72","Pohnpeian"
"73","Pohnpeian"
"75","Pohnpeian"
"76","Pohnpeian"
"77","Pohnpeian"
"79","Pohnpeian"
"80","English"
"81","English"
"82","Pohnpeian"
"83","Pohnpeian"
"84","Pohnpeian"
"85","Pohnpeian"
"86","English"
"87","Pohnpeian"
"88","Pohnpeian"
"89","Pohnpeian"
"90","Pohnpeian"
"91","English"
"92","Pohnpeian"
"93","Pohnpeian"
"94","Pohnpeian"
"95","Pohnpeian"
"96","Pohnpeian"
"98","Pohnpeian"
"101","Pohnpeian"
"104","Pohnpeian"
"105","Pohnpeian"
"106","Pohnpeian"
"107","Pohnpeian"
"108","Pohnpeian"
"109","Pohnpeian"
"110","Pohnpeian"
"111","Pohnpeian"
"112","English"
"113","Pohnpeian"
"114","Pohnpeian"
"116","English"
"117","Pohnpeian"
"118","Pohnpeian"
"119","Pohnpeian"
"120","Pohnpeian"
"122","Pohnpeian"
"123","Pohnpeian"
"124","English"
"125","Pohnpeian"
"126","Pohnpeian"
"127","Pohnpeian"
"128","Pohnpeian"
"130","Pohnpeian"
"133","Pohnpeian"
"135","English"
"136","English"
"137","Pohnpeian"
"138","Pohnpeian"
"139","Pohnpeian"
"140","English"
"141","Pohnpeian"
"142","Pohnpeian"
"143","Pohnpeian"
"144","Pohnpeian"
"145","Pohnpeian"
"146","Pohnpeian"
"147","Pohnpeian"
"148","English"
"149","Pohnpeian"
"150","Pohnpeian"
"151","Pohnpeian"
"152","Pohnpeian"
"153","Pohnpeian"
"154","Pohnpeian"
"155","Pohnpeian"
"156","Pohnpeian"
"157","Pohnpeian"
"158","Pohnpeian"
"159","Pohnpeian"
"160","Pohnpeian"
"161","Pohnpeian"
"162","English"
"163","English"
"164","English"
"165","English"
